Date/Time,Word Count,en,zh
2024.12.18-15.37.04,19,0,19
2024.12.18-15.38.14,19,19,19
2024.12.18-15.48.43,23,19,23
2024.12.18-15.49.15,23,23,23
2024.12.18-16.00.51,121,23,121
2024.12.18-16.06.17,121,121,121
2024.12.18-16.50.33,146,121,146
2024.12.18-16.52.09,148,121,148
2024.12.18-16.54.45,148,142,148
2024.12.18-16.57.10,153,142,153
2024.12.18-16.57.27,153,147,153
2024.12.18-17.01.39,168,147,168
2024.12.18-17.02.29,168,162,168
2024.12.18-17.09.06,217,162,217
2024.12.18-17.10.19,218,162,218
2024.12.18-17.15.03,218,212,218
2024.12.18-17.40.26,264,212,264
2024.12.18-17.43.34,264,258,264
2024.12.18-18.08.04,436,258,436
2024.12.18-18.20.19,436,426,436
2024.12.18-18.22.44,460,422,460
2024.12.18-18.23.59,460,454,460
2024.12.18-18.28.31,464,454,464
2024.12.18-18.29.23,464,458,464
2024.12.18-19.12.49,457,442,457
2024.12.18-19.13.35,457,451,457
2024.12.18-19.32.43,468,451,468
2024.12.18-19.33.42,468,462,468
2024.12.18-19.37.21,490,462,490
2024.12.18-19.38.16,490,484,490
2024.12.18-19.49.35,494,484,494
2024.12.18-19.50.47,494,488,494
2024.12.18-21.25.17,543,488,543
2024.12.18-21.30.26,543,537,543
2024.12.18-21.38.41,567,537,567
2024.12.18-21.44.52,552,537,552
2024.12.18-21.45.54,552,546,552
2024.12.18-22.08.22,596,546,596
2024.12.18-22.09.41,596,590,596
2024.12.18-22.18.11,623,586,623
2024.12.18-22.18.50,623,617,623
